primary_title,start_year,runtime_minutes,genres,vote_average,vote_count,Top Cast,Director,popularity,Budget,Revenue
#ALLMYMOVIES,2015,,Documentary,9.0,4,Shia LaBeouf,Luke Turner,0.84,0.0,0
#Captured,2017,81.0,Thriller,3.2,6,"Lizze Gordon, Cody Renee Cameron, Eve Marlowe, Adam Horner, Gabrielle Romanello",Joe Homokay,1.418,0.0,0
#FollowFriday,2016,90.0,Thriller,3.2,7,"Courtney Lakin, Joseph Poliquin, Ashley Bratcher, Elliott Armstrong, Ramsey Hanchette",Micho Rutare,1.646,0.0,0
#Horror,2015,101.0,"Crime,Drama,Horror",3.3,102,"Chloë Sevigny, Timothy Hutton, Natasha Lyonne, Balthazar Getty, Taryn Manning",Tara Subkoff,6.099,1500000.0,0
#Lucky Number,2015,80.0,Comedy,6.0,2,"Tom Pelphrey, Natalie Hall, Method Man, Malcolm Goodwin, Joseph Russo",Brendan Gabriel Murphy,0.919,1000000.0,0
#REALITYHIGH,2017,99.0,"Comedy,Drama,Romance",6.4,703,"Nesta Cooper, Keith Powers, Alicia Sanz, Jake Borelli, Anne Winters",Fernando Lebrija,13.629,0.0,0
#Roxy,2018,105.0,"Comedy,Romance",4.0,3,"Danny Trejo, Booboo Stewart, Sarah Fisher, Jake Short, Pippa Mackie",Michael Kennedy,2.75,1000000.0,0
#Rucker50,2016,56.0,Documentary,3.7,3,Inez Dickens,Robert McCullough Jr.,0.84,0.0,0
#Screamers,2016,85.0,"Horror,Mystery",3.8,5,"Abbi Snee, Theodora Miranne, Tom Malloy, Griffin Matthews, Chris Bannow",Dean Matthew Ronalds,1.688,0.0,0
#SquadGoals,2018,90.0,"Drama,Thriller",4.3,12,"Corey Fogelmanis, Kennedy Lea Slocum, Peyton Clark, Paris Berelc, Pedro Correa",Danny J. Boyle,3.766,0.0,0
#Stuck,2014,82.0,"Comedy,Drama,Romance",5.3,13,"Madeline Zima, Joel David Moore, Abraham Benrubi, Joanna Canton, Jayson Blair",Stuart Acher,3.56,0.0,0
#TAKEMEANYWHERE,2018,44.0,"Adventure,Documentary",3.0,2,"Shia LaBeouf, Nastja Säde Rönkkö, Luke Turner",Nastja Säde Rönkkö,2.196,0.0,0
$50K and a Call Girl: A Love Story,2014,90.0,"Action,Adventure,Comedy",6.8,14,"Ross Patterson, Jessie Wiseman, Seth Grossman, Lauren Aboulafia, Asher Roth",Seth Grossman,2.239,0.0,0
$elfie Shootout,2016,86.0,Comedy,10.0,1,"Gabrielle Stone, Michael Barra, Circus-Szalewski, Marianne Bourg, Ian Watson",Ron Jackson,0.6,0.0,0
$ellebrity,2012,89.0,Documentary,5.6,12,"Jennifer Aniston, Marc Anthony, Rosanna Arquette, Jennifer Lopez, Sheryl Crow",Kevin Mazur,1.42,0.0,0
'71,2014,99.0,"Action,Drama,Thriller",6.8,627,"Jack O'Connell, Sean Harris, Paul Anderson, Sam Reid, Sam Hazeldine",Yann Demange,10.523,11000000.0,3200000
'85: The Greatest Team in Pro Football History,2016,90.0,Sport,7.5,2,"Mike Ditka, Jim McMahon, Mike Singletary, Steve McMichael, Willie Gault",Scott Prestin,0.6,650000.0,0
(A)sexual,2011,75.0,Documentary,5.3,13,,Angela Tucker,1.065,0.0,0
(Dis)Honesty: The Truth About Lies,2015,90.0,"Documentary,Drama,News",7.1,32,Dan Ariely,Yael Melamede,1.705,0.0,0
(Romance) in the Digital Age,2017,85.0,"Comedy,Music",6.0,1,"Chris Warren, Lauren Pritchard, Lauren Moore, Joe Murphy, Chris Viemeister",Jason Michael Brescia,1.189,0.0,0
(T)ERROR,2015,84.0,Documentary,6.8,18,,David Felix Sutcliffe,1.723,0.0,0
* Cemetery,2010,80.0,"Comedy,Horror,Thriller",5.5,2,"Tim Fiegl, Molly McCarthy, B.J. Stack IV, Katlin Stack",B.J. Stack IV,0.6,0.0,0
0.5 Mm,2014,198.0,Drama,7.3,13,"Sakura Ando, Junkichi Orimoto, Toshio Sakata, Masahiko Tsugawa, Akira Emoto",Momoko Ando,1.611,0.0,0
1,2016,22.0,Documentary,7.4,53,"Michael Fassbender, Niki Lauda, Michael Schumacher, Lewis Hamilton, Jenson Button",Paul Crowder,6.013,0.0,0
